Sheet,room,idx,original,translated,comments
טקסטים לפי חדרים,0,0,"You talk to yourself and, as usual, learn nothing that you didn't already know.","אתה מדבר אל עצמך, וכרגיל, לא לומד משהו שלא ידעת כבר.",
טקסטים לפי חדרים,0,1,Hey! One shouldn't attempt to manipulate one's self in a family game.,היי! אתה לא אמור להתעסק עם עצמך במשחק לכל המשפחה.,
טקסטים לפי חדרים,0,2,Better not. You're likely to get a fur ball.,מוטב שלא. אתה צפוי לבלוע כדור פרווה.,
טקסטים לפי חדרים,0,3,The odor you're producing causes you to regret skipping last month's shower.,הניחוח שאתה מפיק גורם לך להתחרט על שדילגת על המקלחת החודשית.,
טקסטים לפי חדרים,0,4,You're too busy right now.,אתה עסוק מדי עכשיו.,
טקסטים לפי חדרים,0,5,Better save it for when you're thirsty.,עדיף לשמור את זה לרגעים שתהיה צמא.,
טקסטים לפי חדרים,0,6,You don't want to do that here.,אתה לא רוצה לעשות את זה כאן.,
טקסטים לפי חדרים,0,7,You wisely strap on the jetpack to allow your self motion control.,אתה חוגר בתבונתך את תרמיל הריחוף כדי לאפשר לך בקרת תנועה עצמית.,
טקסטים לפי חדרים,0,8,The jetpack is useful only in Zero-G situations.,תרמיל הריחוף יעיל רק במצבי אפס כבידה.,
טקסטים לפי חדרים,0,9,Don't bother. This knife wouldn't cut hot lard.,אל תטרח. הסכין לא חותכת שומן רותח.,
טקסטים לפי חדרים,0,10,Isn't this just the most amazing waste of time?,האין זה בזבוז הזמן המדהים ביותר בעולם?,
טקסטים לפי חדרים,0,11,You have to wonder why you're performing such a useless action.,עליך לשאול את עצמך מדוע הינך מבצע פעולות כל כך חסרות תועלת.,
טקסטים לפי חדרים,0,12,You wisely decide this is a serious waste of time and energy.,אתה מחליט בחוכמה שמדובר בבזבוז משווע של זמן ואנרגיה.,
טקסטים לפי חדרים,0,13,You ask yourself why you're doing this and are forced to reply that you just don't know.,אתה שואל את עצמך למה אתה עושה זה ועצמך עונה לך שאין לו מושג.,
טקסטים לפי חדרים,0,14,"Even for you, this isn't bright.","אפילו במונחים שלך, זה לא רעיון מבריק.",
טקסטים לפי חדרים,0,15,Thank you for playing Space Quest I. You've been most entertaining.,תודה ששיחקתם מסע בחלל 1. בידרתם אותנו כמו שצריך.,
טקסטים לפי חדרים,0,16,"""Are you sure you want to restart?""","""בטוח שרוצים להתחיל מחדש?""",
טקסטים לפי חדרים,0,17,Memory fragmented.,קטעי זכרונות.,
טקסטים לפי חדרים,0,18,"What did you expect them to do, reproduce?","מה ציפית מהם לעשות, להתרבות?",
טקסטים לפי חדרים,0,19,You're far too busy for that now.,אתה עסוק מדי בשביל זה עכשיו.,
טקסטים לפי חדרים,0,20,You switch the gadget off to conserve its energy.,אתה מכבה את הגאדג'ט כדי לחסוך באנרגיה.,
טקסטים לפי חדרים,0,21,You switch the gadget on.,אתה מפעיל את הגאדג'ט.,
טקסטים לפי חדרים,0,22,You're far to busy for that now.,אתה עסוק מדי בשביל זה עכשיו.,
טקסטים לפי חדרים,0,23,You scrape that sticky goo from the bottom of the rock.,אתה מגרד את העיסה הדביקה מתחתית הסלע.,
טקסטים לפי חדרים,0,24,There is nothing you can do to the rock.,אין לך מה לעשות לסלע.,
טקסטים לפי חדרים,0,25,You've already opened the survival kit and removed its contents.,כבר פתחת את ערכת ההישרדות ורוקנת את תכולתה.,
טקסטים לפי חדרים,0,26,Upon opening the survival kit you discover a Xenon army knife and a canister of dehydrated water.,אתה פותח את ערכת ההישרדות ומוצא בתוכה סכין צבאי זנוני ומיכל מים מיובשים.,
טקסטים לפי חדרים,0,27,You have %d Buckazoid%s,יש לך %d זוזואידים,
טקסטים לפי חדרים,0,28,Thank you for playing Space Quest I. Too bad you've failed miserably and doomed all of your people to a horrible death at the hands of the Sariens. You quickly glance about the room to see if anyone saw your silly mistake. Better luck next time.,תודה ששיחקת מסע בחלל 1. עצוב מאד שנחלת כישלון מחפיר וגזרת על אנשיך מוות מחריד בידי הסריינים. אתה מעיף מבט חטוף מסביב לחדר ובודק אם מישהו הבחין בטעות המגוחכת שלך. בהצלחה בפעם הבאה.,
טקסטים לפי חדרים,0,29,,,
טקסטים לפי חדרים,0,30,"New response: rm%03d %s 
%s 
","תשובה חדשה: rm%03d %s 
%s",
טקסטים לפי חדרים,0,31,"		(%s
",,
טקסטים לפי חדרים,0,32,Score: %d of %d,ניקוד: %d מתוך %d,
טקסטים לפי חדרים,1,0,,,
טקסטים לפי חדרים,1,1,"As we join our story, the crew of the Arcada is returning home to Xenon after a successful mission developing the Star Generator.


Exhilarated by their accomplishments, they are oblivious to the fact that a sinister craft approaches rapidly from behind.","הסיפור פוגש אותנו, בשעה שצוות הארקדה משייטים את דרכם אל נמל הבית של זנון בשובם ממשימת פיתוח מחולל כוכבים.

מסוחררים מהישגיהם הכבירים, אדישים הם לעובדה שספינת חלל מרושעת הולכת וסוגרת עליהם מאחור.",
טקסטים לפי חדרים,10,0,"You slide the keycard into the slot. The lock releases with a satisfying click, and the elevator doors slide open.","אתה מעביר את התג בקורא התגים. המנעול נפתח בקליק נעים, ודלתות המעלית נפתחות בגלישה איטית.",
טקסטים לפי חדרים,10,1,The bay doors are currently open.,דלתות הסיפון פתוחות כרגע.,
