room,idx,original,translated,comments
0,0,"You talk to yourself and, as usual, learn nothing that you didn't already know.","___ ____ __ ____, ______, __ ____ ____ ___ ____ ___.",
0,1,Hey! One shouldn't attempt to manipulate one's self in a family game.,___! ___ __ ____ ______ __ ____ _____ ___ ______.,
0,2,Better not. You're likely to get a fur ball.,____ ___. ___ ____ _____ ____ _____.,
0,3,The odor you're producing causes you to regret skipping last month's shower.,______ ____ ____ ____ __ ______ __ ______ __ ______ _______.,
0,4,You're too busy right now.,___ ____ ___ _____.,
0,5,Better save it for when you're thirsty.,____ _____ __ __ ______ _____ ___.,
0,6,You don't want to do that here.,___ __ ____ _____ __ __ ___.,
0,7,You wisely strap on the jetpack to allow your self motion control.,___ ____ _______ __ _____ ______ ___ _____ __ ____ _____ _____.,
0,8,The jetpack is useful only in Zero-G situations.,_____ ______ ____ __ _____ ___ _____.,
0,9,Don't bother. This knife wouldn't cut hot lard.,__ ____. _____ __ _____ ____ ____.,
0,10,Isn't this just the most amazing waste of time?,____ __ _____ ____ ______ _____ _____?,
0,11,You have to wonder why you're performing such a useless action.,____ _____ __ ____ ____ ____ ____ ______ __ __ _____ _____.,
0,12,You wisely decide this is a serious waste of time and energy.,___ _____ ______ ______ ______ _____ __ ___ _______.,
0,13,You ask yourself why you're doing this and are forced to reply that you just don't know.,___ ____ __ ____ ___ ___ ____ __ _____ ____ __ ____ __ ____.,
0,14,"Even for you, this isn't bright.","_____ _______ ___, __ __ _____ _____.",
0,15,Thank you for playing Space Quest I. You've been most entertaining.,____ _______ ___ ____ 1. ______ _____ ___ _____.,
0,16,"""Are you sure you want to restart?""","""____ ______ ______ ____?""",
0,17,Memory fragmented.,____ _______.,
0,18,"What did you expect them to do, reproduce?","__ _____ ___ _____, _______?",
0,19,You're far too busy for that now.,___ ____ ___ _____ __ _____.,
0,20,You switch the gadget off to conserve its energy.,___ ____ __ _____'_ ___ _____ _______.,
0,21,You switch the gadget on.,___ _____ __ _____'_.,
0,22,You're far to busy for that now.,___ ____ ___ _____ __ _____.,
0,23,You scrape that sticky goo from the bottom of the rock.,___ ____ __ _____ ______ ______ ____.,
0,24,There is nothing you can do to the rock.,___ __ __ _____ ____.,
0,25,You've already opened the survival kit and removed its contents.,___ ____ __ ____ ________ ______ __ ______.,
0,26,Upon opening the survival kit you discover a Xenon army knife and a canister of dehydrated water.,___ ____ __ ____ ________ _____ _____ ____ ____ _____ _____ ___ _______.,
0,27,You have %d Buckazoid%s,__ __ %d _________,
0,28,Thank you for playing Space Quest I. Too bad you've failed miserably and doomed all of your people to a horrible death at the hands of the Sariens. You quickly glance about the room to see if anyone saw your silly mistake. Better luck next time.,____ ______ ___ ____ 1. ____ ___ _____ ______ _____ _____ __ _____ ____ _____ ____ ________. ___ ____ ___ ____ _____ ____ _____ __ _____ _____ _____ _______ ___. ______ ____ ____.,
0,29,,,
0,30,"New response: rm%03d %s 
%s 
","_____ ____: rm%03d %s 
%s",
0,31,"		(%s
",,
0,32,Score: %d of %d,_____: %d ____ %d,
1,0,,,
1,1,"As we join our story, the crew of the Arcada is returning home to Xenon after a successful mission developing the Star Generator.


Exhilarated by their accomplishments, they are oblivious to the fact that a sinister craft approaches rapidly from behind.","______ ____ _____, ____ _____ ______ _______ __ ____ __ ___ ____ __ ____ _____ ______ _____ _____ ______.

________ ________ _______, ______ __ ______ ______ ___ ______ _____ ______ _____ _____.",
10,0,"You slide the keycard into the slot. The lock releases with a satisfying click, and the elevator doors slide open.","___ _____ __ ___ _____ _____. ______ ____ _____ ____, ______ ______ ______ ______ _____.",
10,1,The bay doors are currently open.,_____ ______ ______ ____.,
